sofifa_id,short_name
251068,M. Dobrescu
251065,R. Patriche
251064,C. Găină
251063,A. Răuță
251057,O. Vâlceanu
251056,A. Ureche
251055,M. Jamal
251054,M. Neicuțescu
251052,C. Neguț
251051,C. Cherchez
251049,A. Șerban
251048,M. Mihaiu
251047,L. Mihai
251046,D. Novac
251045,V. Rață
251044,M. Martac
251043,A. Ioniță
251042,D. Dumitrașcu
251041,C. Dinu
251037,B. Șandru
251036,M. Aioani
251034,I. Popescu
251033,A. Ouhafsa
251032,N. Ouammou
251026,P. Schwarz
251025,Larrazabal
251024,I. Lushaku
251023,J. Curran
251022,C. Costin
251021,V. Mihalcea
251019,T. Petrášek
251018,T. Sinclair
251017,M. Maureira
251016,T. Ahumada
251014,C. Zarama
251013,D. Aravena
251012,K. Delgado
251011,Kirian
251009,Miguel Ángel
251005,M. Mohammed
251004,Pirulo
251003,Guima
251002,S. Conteh
251001,C. Boyd-Munce
250999,H. Hussein
250998,S. Tengstedt
250997,José Gragera
250996,A. Roczen
250995,Xiao Mingjie
250993,M. Gyamfi
250992,Jesús Alvarez
250991,L. Bell Bell
250990,M. Temp
250989,Wang Zhenghao
250979,A. Kanther
250975,C. Karatas
250970,M. Wolski
250969,Y. Radionov
250967,K. Rozmus
250966,A. Bogusz
250962,A. Luković
250961,J. Zirkzee
250960,O. Bundgaard
250958,D. Ontuzans
250957,M. Wagner
250956,T. Rausch
250955,J. Stanisic
250954,C. Richards
250953,J. Holúbek
250952,K. Muhar
250950,L. Kukić
250949,M. Zylla
250947,A. Nollenberger
250946,J. Rochelt
250945,M. Zaiser
250942,A. Mayer
250941,D. Köhn
250940,T. Rieg
250939,D. Stipica
250938,S. Eichmeier
250936,S. Özcan
250935,J. Dixon
250934,K. Kerr
250932,J. Grzesik
250931,P. Osterhage
250930,D. Arndt
250929,P. Pyrdoł
250928,M. Kołba
250927,O. Erdogan
250926,M. Hoffmeier
250924,N. Blumberg
250923,J. Koenraat
250920,K. Heemskerk
